id;sequence;latin;stewart;paris;verona;al;variants;modern_19c;distance;unit;notes;uri;names_pl
285;285;antaradus;Antaradus;;;;;Tartús;16;mile;;http://pleiades.stoa.org/places/668190;Antarados/Constantia|Antarados/Constantia, Tartous
161;161;rampiana;Rappiana;;Rampiana;;;Alexinatz;12;mile;;http://pleiades.stoa.org/places/207156;Gramrianae|Gramrianae, Draževac, Aleksinac
227;227;dablae;Dable;;Doble;;Dablis;near Tereklu;6;mile;;http://pleiades.stoa.org/places/844900;Dableis|Dableis, Çayköy
23;23;tricensimum;30th milestone*;Tricencimum;;;;;8;mile;;http://pleiades.stoa.org/places/246706;Tricensimum|Tricensimum, Crémadeills
101;101;ad fornolus;Fornolus;;;;;;12;mile;;http://pleiades.stoa.org/places/197063;*Ad Fornulos|*Ad Fornulos, Prvačina
228;228;ceratae;Cerate;;;;;;6;mile;;http://pleiades.stoa.org/places/844892;Ceratae|Ceratae, mansio at Beydili
162;162;naisso;Naissus;;;;;Nisch;12;mile;;http://pleiades.stoa.org/places/207303;Naissus|Naissus, Niš
24;24;hosuerbas;Hosuerbas;;Husuerbas;;;;15;mile;;http://pleiades.stoa.org/places/246720;Usuerva|Usuerva, Lézignan-Corbières|Lézignan-Corbières
163;163;redicibus;Redices;;;;;Banja;12;mile;;http://pleiades.stoa.org/places/207373;*Radices|*Radices, Jelašnica?
25;25;narbone;Narbo;;;;;Narbonne;15;mile;;http://pleiades.stoa.org/places/246347;Col. Narbo Martius|Col. Narbo Martius, Narbonne|Narbonne
26;26;beterris;Beterræ;Biterris;;;Bæterræ;Béziers;16;mile;;http://pleiades.stoa.org/places/148056;Col. Baeterrae|Col. Baeterrae, Béziers|Béziers
165;165;romansiana;Romansiana;;;;Remesiana;Ak Palanka;9;mile;;http://pleiades.stoa.org/places/207382;Remesiana|Remesiana, Bela Palanka
230;230;dadastano;Dadartanum;;;;Dadastunum;;6;mile;;http://pleiades.stoa.org/places/844901;Dadastana|Dadastana, Karahisar
288;288;arcas;Arcæ;;;;Arca, Cæsarea;'Arka;8;mile;;http://pleiades.stoa.org/places/668198;Arca/Herakleia en Phoinike/Caesarea ad Libanum|Arca/Herakleia en Phoinike/Caesarea ad Libanum, Tell 'Arqa
27;27;cessarone;Cessaro;;;;Cessero, Araura;St. Thibéry;12;mile;;http://pleiades.stoa.org/places/147997;Araura/Cessero|Cessero/Araura, Saint-Thibéry|Pont romain, Saint-Thibéry|Saint-Thibéry
231;231;trans monte;Trans Montem;;;;;;6;mile;;http://pleiades.stoa.org/places/845086;‘Transmonte’|‘Transmonte’, near Baglıca
166;166;latina;Latina;;;;;;9;mile;;http://pleiades.stoa.org/places/207235;Latina|Latina, Telovac, Crnoklište
289;289;bruttus;Bruttus;;;;;;9;mile;;http://pleiades.stoa.org/places/668215;Bruttus|Bruttus, al-Abde?
104;104;longatico;Longaticum;;;;;Logatez;10;mile;;http://pleiades.stoa.org/places/197357;Longaticum|Longaticum, Logatec
233;233;iuliopolis;Juliopolis;;;;;near Nalli Khan;8;mile;;http://pleiades.stoa.org/places/844935;Gordioukome/Iuliopolis|Gordioukome/Iuliopolis, Sarılar
29;29;sostantione;Sustantio;Sostancione;;;Sextantio;Soustantion;15;mile;;http://pleiades.stoa.org/places/148202;Sextantio|Sextantio/Substantion, Substantion|Castelnau-le-Lez
291;291;triclis;Triclis;;Trecles;;;;12;mile;;http://pleiades.stoa.org/places/668392;Trieres|Trieres, el Heri
168;168;translitis;Translites;;;;;;12;mile;;http://pleiades.stoa.org/places/207509;‘Translitis’|‘Translitis’, Dimitrovgrad
106;106;emona;Emona;;Semona;;Æmona;Laybach;14;mile;;http://pleiades.stoa.org/places/197258;Emona|Emona, Ljubljana
234;234;hicronpotamum;River Hycron;;;;River Siberis;Ala Dagh Su;13;mile;;http://pleiades.stoa.org/places/844946;*Hieronpotamon|*Hieronpotamon, below Tahir
30;30;ambrosi;Ambrosius;;Ambrosi;;Ambrussum;;15;mile;;http://pleiades.stoa.org/places/147990;Ambrussum|Ambrussum, Pont-Ambroix (Ambrussum)
107;107;ad quartodecimo;14th milestone;;;;;;10;mile;;http://pleiades.stoa.org/places/197082;Ad Quartodecimum|Ad Quartodecimum, Groblje pri Mengšu
169;169;ballanstra;Ballanstra;;;;;;10;mile;;http://pleiades.stoa.org/places/206955;Ballanstra|Ballanstra, Kalotina
31;31;nemauso;Nemauses;;;;;Nimes;15;mile;;http://pleiades.stoa.org/places/148142;Barutel|Carrières de Barutel|Nemausus|Nemausus, Nîmes|Nîmes
170;170;meldia;Meldia;;;;;;9;mile;;http://pleiades.stoa.org/places/207275;Meldia|Meldia, Dragoman
235;235;agannia;Agannia;;;;Lagania;;11;mile;;http://pleiades.stoa.org/places/609447;Lagania/Anastasioupolis|Lagania/Anastasioupolis, Dikmen Hüyük
293;293;alcobile;Alcobilis;;Alcovile;;;;12;mile;;http://pleiades.stoa.org/places/668216;Byblos|Byblos, Byblos/Jbeil
108;108;hadrante;Hadrante;;;;Adrans;St. Oswald;13;mile;;http://pleiades.stoa.org/places/197147;Atrans|Atrans, Trojane
32;32;ponte aerarium;Pons Herarus;Porte ærarium;;;Ærarius;Bellegarde;16;mile;;http://pleiades.stoa.org/places/148160;Pons Aerarius|Pons Aerarius, Bellegarde|Bellegarde
236;236;petrobrogen;Petrobroge;;;Ipetobrogen, Petrobogen;Petroboge;Bei Bazar;6;mile;;http://pleiades.stoa.org/places/845038;‘Petobrogen’|‘Petobrogen’, near Perli Çiftlik
171;171;scretisca;Scretesca;;;;;;12;mile;;http://pleiades.stoa.org/places/207435;Scretisca|Scretisca, Kostinbrod
294;294;heldua;Berytus;;;;;Beirút;12;mile;;http://pleiades.stoa.org/places/678177;Heldua|Heldua, Khan el-Khulde
33;33;arelate;Arelate;;;;;Arles;8;mile;;http://pleiades.stoa.org/places/148217;Theline/Col. Arelate/Constantina|Col. Arelate/Theline/Constantina, Arles|Arles
295;295;birito;Heldua;;Eldua;;;Khan Khulda;12;mile;;http://pleiades.stoa.org/places/678060;Berytus/Laodikeia en te Phoinike/Col. Iulia Augusta Felix|Berytus/Laodikeia en te Phoinike/Col. Iulia Augusta Felix, Beirut
237;237;mnizos;Mnizos;Innizos;Simonizous;;;;10;mile;;http://pleiades.stoa.org/places/845020;Mnizos|Mnizos, Balçiçek Çiftliği
296;296;parphirion;Porphyrion;Parphirion;Parpinon;;Porphyreon;;13;mile;;http://pleiades.stoa.org/places/678338;Porphyreon Polis|Porphyreon Polis, Khan Nebi Yunas
238;238;prasmon;Prasmon;;Trasmon;;;;12;mile;;http://pleiades.stoa.org/places/845047;Prasmon|Prasmon, NE Ayas
110;110;celeia;Cælia;;;;Celeia;Cilly;13;mile;;http://pleiades.stoa.org/places/197206;Celeia|Celeia, Celje
239;239;malogordis;Malogardis;;;;Manegordus;;9;mile;;http://pleiades.stoa.org/places/845011;‘Manegordo’|‘Manegordo’, Avdan
297;297;sidona;Sidon;;;;;Saida;13;mile;;http://pleiades.stoa.org/places/678393;Sidon/Col. Aurelia Pia|Sidon/Col. Aurelia Pia, Saida (Sidon)
111;111;lotodos;Lotodos;;;;;;12;mile;;http://pleiades.stoa.org/places/197069;Ad Lotodos|Ad Lotodos, Stranice
298;298;sarepta;Sarepta;;;;;;9;mile;;http://pleiades.stoa.org/places/678374;Sarepta/Makra Kome|Sarepta/Makra Kome, Sarepta
240;240;cenaxem palidem;Lake Cenaxis;Cenaxempalidem;;;;;13;mile;;http://pleiades.stoa.org/places/619136;Cenaxis Palus|Cenaxis Palus, Macun Çiftlik? near Etimesgut
112;112;ragindone;Ragendo;;;;Ragando;;12;mile;;http://pleiades.stoa.org/places/197467;Ragando|Ragando, Spodnje Grušovje
34;34;arnagine;Arnago;;Arnagene;;Ernaginum;St. Gabriel;8;mile;;http://pleiades.stoa.org/places/148074;Ernaginum|Ernaginum, Saint-Gabriel
173;173;extuomne;Extuomnes;;Extuome;;;;8;mile;;http://pleiades.stoa.org/places/481835;‘Extuomne’|‘Extuomne’, Kazichene
113;113;pultouia;Pultovia;;Poltovia;;;;12;mile;;http://pleiades.stoa.org/places/197460;Pultovia|Pultovia, Stražgonjca
35;35;bellinto;Bellintum;;;;;;10;mile;;http://pleiades.stoa.org/places/148019;Bellintum|Bellintum, Graveson/Rognonas
174;174;buragara;Buracara;Buragara;;;;Bagaraca;8;mile;;http://pleiades.stoa.org/places/481775;Burgaraca|Burgaraca, Lesnovo
114;114;poetouione;Petovio;;Potovione;;;Pettau;12;mile;;http://pleiades.stoa.org/places/197446;Poetovio|Poetovio, Ptuj
36;36;auenione;Avinio;Avenione;;;Avenio;Avignon;5;mile;;http://pleiades.stoa.org/places/148004;Avennio|Avennio, Avignon|Avignon
175;175;sparata;Sparata;;;;;;8;mile;;http://pleiades.stoa.org/places/481998;Sparata|Sparata, Vakarel
37;37;cypresseta;Cepressata;Cypressata;;;;;5;mile;;http://pleiades.stoa.org/places/148065;Cypresseta|Cypresseta, Sorgues|Sorgues
176;176;hilica;Hilica;Iliga;;;;Ichtiman;10;mile;;http://pleiades.stoa.org/places/481860;Helice|Helice, Ihtiman
38;38;arausione;Aurasio;;;;;Orange;13;mile;;http://pleiades.stoa.org/places/148054;Col. Arausio|Col. Arausio, Orange|Orange
177;177;soneio;Soneium;;;;;;9;mile;;http://pleiades.stoa.org/places/481996;Soneio|Soneio/Stipon, Trayanovi vrata
115;115;ramista;Ramista;;;;;;9;mile;;http://pleiades.stoa.org/places/197468;Ramista|Ramista, Formin, Gorišnica
39;39;ad letoce;Letoce;;;;;;10;mile;;http://pleiades.stoa.org/places/167616;Barry|Ad Letoce|Ad Letoce, Gué du Lez|Bollène
243;243;curueunta;Curveunta;;;;Gorbeous;;11;mile;;http://pleiades.stoa.org/places/619167;Gorbeus|Gorbeus, Oğulbey
178;178;ponte vcasi;Pons Ucasi;;Ponte Ugas;;;;6;mile;;http://pleiades.stoa.org/places/222149;Pons Ucasi
117;117;populis;Populi;;;;;;10;mile;;http://pleiades.stoa.org/places/197454;Populi|Populi, Varaždin
244;244;rosolodiaco;Rosolodiacum;;;;Rosolatiacum, Orosologia;;;mile;;http://pleiades.stoa.org/places/619228;Orsologiakos/Rosolodiacus|Orsologiakos/Rosolodiacus, Deliler Çiftliği
301;301;alexandroschene;Alexandroschene;;;;;Khurbet Iskanderûnek;12;mile;;http://pleiades.stoa.org/places/678013;Alexandroschene|Alexandroschene, İskanderun
41;41;acuno;Acunum;;;;;Anconne;7;mile;;http://pleiades.stoa.org/places/167627;Dourion|Dourion, Géry, Montélimar|Akousion/Acunum|Akousion/Acunum, Montélimar|Montélimar
118;118;iouia;Jovia;;;;;;9;mile;;http://pleiades.stoa.org/places/197326;Iovia|Iovia, Ludbreg
245;245;aliassum;Aliassus;;Aliasum;;;;13;mile;;http://pleiades.stoa.org/places/619102;Aliassum|Aliassum, probably at Avşar
42;42;bantianis;Vancianis;;Bantianis;;;Bancs;7;mile;;http://pleiades.stoa.org/places/167668;Batiana|Batiana, Bances|Umbennum|Umbennum, Étoile-sur-Rhône|Étoile-sur-Rhône
302;302;ecdeppa;Ecdeppa;;Hecdeppa;;;;12;mile;;http://pleiades.stoa.org/places/678128;Ekdippa|Ekdippa, Achziv/ez Zib
119;119;sunista;Sunista;;;;;;9;mile;;http://pleiades.stoa.org/places/197522;Sonista|Sonista, Kunovec Breg
246;246;aspona;Aspona;Arpona;;;;;18;mile;;http://pleiades.stoa.org/places/619118;Aspona|Aspona, Sarıhüyük/Ankara
303;303;ptolomaida;Ptolomais;;;;Accho;'Akka, St. Jean d'Acre;9;mile;;http://pleiades.stoa.org/places/678010;Ake/Ptolemais|Ake/Ptolemais, Acre
181;181;basapare;Bassapara;;;Basapare;;Tatar Bazarjik;12;mile;;http://pleiades.stoa.org/places/216732;Bessapara|Bessapara, Pazardzhik
120;120;peritur;Peritur;;;;;;12;mile;;http://pleiades.stoa.org/places/197440;‘Piretis’|‘Piretis’, Draganovec
247;247;galea;Galea;;;;;;13;mile;;http://pleiades.stoa.org/places/619162;Galea|Galea, near Büyük Bıyık
121;121;lentolis;Lentolæ;;Lertoles;;Lentulæ;Berzentze;12;mile;;http://pleiades.stoa.org/places/197348;‘Lentulis’|‘Lentulis’, Stari Gradac
305;305;sicaminos;Sycaminos;;;;Sycaminon;;3;mile;;http://pleiades.stoa.org/places/678404;Sykamina|Sykamina/Hefa/Porphyreon/Calamon/Castra Samaritanorum, Tel Shiqmona, Tell es Samak
45;45;cerebelliaca;Cerebelliaca;;;;;;12;mile;;http://pleiades.stoa.org/places/167705;Cerebelliaca|Cerebelliaca, Ourches
122;122;cardono;Cardonum;;;;;;10;mile;;http://pleiades.stoa.org/places/197191;‘Cardono’/Iovia|‘Cardono’/Iovia, Gradina
183;183;filopopuli;Philippopolis;;;;;Philippopoli;12;mile;;http://pleiades.stoa.org/places/216927;Philippopolis/Trimontium|Philippopolis/Trimontium, Plovdiv
46;46;augusta;Augusta;;;;;Aoust;10;mile;;http://pleiades.stoa.org/places/167658;Augusta|Augusta, Aouste-sur-Sye|Aouste-sur-Sye
123;123;cocconis;Cocconi;;Coccones;;;;12;mile;;http://pleiades.stoa.org/places/197215;‘Cocconis’|‘Cocconis’, Sopje
184;184;sernota;Sernota;Syrnota;;;;;10;mile;;http://pleiades.stoa.org/places/216980;Sernota|Sernota, Manole
47;47;darentiaca;Darentiaca;;;;;;12;mile;;http://pleiades.stoa.org/places/167737;Darentiaca|Darentiaca, Saillans
124;124;serota;Serota;;;;;;10;mile;;http://pleiades.stoa.org/places/197508;Serota|Serota, Virovitica
249;249;parnasso;Parnassus;;;;;;13;mile;;http://pleiades.stoa.org/places/619235;Parnassos|Parnassos, Değirmenyolu
185;185;paramuole;Paramvole;;;;;;8;mile;;http://pleiades.stoa.org/places/216920;Parambole|Parambole, Belozem
125;125;bolentia;Bolentia;;;;;;10;mile;;http://pleiades.stoa.org/places/203108;Bolentia
48;48;dea vocontiorum;Dea Vocontiorum;;Deanocontinorum;;;Die;16;mile;;http://pleiades.stoa.org/places/167716;Col. Dea Vocontiorum|Col. Dea Vocontiorum/Dea Augusta, Die|Die
250;250;iogola;Iogola;;Iogula;;Ozizala;;16;mile;;http://pleiades.stoa.org/places/619232;Ozzala/Ozizala|Ozzala/Ozizala, near Üzengilik (contra RE)
186;186;cillio;Cillium;;;;;;12;mile;;http://pleiades.stoa.org/places/216767;Cillis?|Cillis?, Cherna gora
126;126;maurianis;Mauriana;;;;;;9;mile;;http://pleiades.stoa.org/places/197370;‘Marinianis’/Magniana|‘Marinianis’/Magniana, Donji Miholjac
251;251;nitalis;Nitalis;;;;;;18;mile;;http://pleiades.stoa.org/places/619220;Nitazi/Nitalis|Nitazi/Nitalis, Kabakülak
187;187;carassura;Carasurra;;;;;;9;mile;;http://pleiades.stoa.org/places/216750;Carassura|Carassura, Rupkite
49;49;luco;Lucus;;;;;Luc;12;mile;;http://pleiades.stoa.org/places/167815;Lucus Augusti|Lucus Augusti, Luc-en-Diois
252;252;argustana;Argustana;;;;;;13;mile;;http://pleiades.stoa.org/places/619115;Argustana|Argustana, Yeniyuva, formerly Nurgüz
265;265;tarso;Tarsus;;;;;;12;mile;;http://pleiades.stoa.org/places/648789;Tarsus/Antiochia ad Cydnum|Tarsus/Antiochia ad Cydnum, Gözlü Kule
300;300;tyro;Tyre;;;;;Sûr;12;mile;;http://pleiades.stoa.org/places/678437;Tyrus/Col. Septimia Severa|Tyrus/Col. Septimia Severa, Tyre (Tyrus)
4;4;vasatas;Vasates;Vasatas;;;Cossio;Bazzas;8;league;;http://pleiades.stoa.org/places/138313;Cossium|Cossium/Vasatis, Bazas|Bazas
86;86;verona;Verona;;;;;Verona;10;mile;;http://pleiades.stoa.org/places/383816;Verona|Verona, Verona|Verona
148;148;vingeio;Vingeium;;Mingeio;;Vinceia;Semendria;6;mile;;http://pleiades.stoa.org/places/207550;Vinceia|Vinceia, Smederevo
89;89;vincentia;Vincentia;;;;Vicentia;Vicenza;11;mile;;http://pleiades.stoa.org/places/393513;Vicetia|Vicetia, Vicenza|Vicenza
9;9;vanesia;Vanesia;;;;;;12;league;;http://pleiades.stoa.org/places/246727;Vanesia|Vanesia, Saint-Jean-Poutge
150;150;viminacio;Viminatium;;;;;;10;mile;;http://pleiades.stoa.org/places/207549;Viminacium|Viminacium/Viminatium, Stari Kostolac
167;167;turribus;Turres;;;;;Pirot;9;mile;;http://pleiades.stoa.org/places/207521;Turres|Turres, Pirot
43;43;vmbenno;Umbennum;;;;;;12;mile;;http://pleiades.stoa.org/places/167947;Batiana|Batiana, Bances|Umbennum|Umbennum, Étoile-sur-Rhône|Étoile-sur-Rhône
50;50;vologatis;Vologatis;;Volocates;;;Vaugelas?;9;mile;;http://pleiades.stoa.org/places/167978;Vologatae|Vologatae, Beaurières
188;188;arzo;Arzus;;;;Arsus;Chaskeui;11;mile;;http://pleiades.stoa.org/places/216714;Arzus|Arzus, Kalugerovo, Simeonovgrad
127;127;serena;Serena;;;;;;8;mile;;http://pleiades.stoa.org/places/197507;Serena?|Serena?, Viljevo, Našice
253;253;colonia;Colonia;;;;Archelais;Ak Serai?;16;mile;;http://pleiades.stoa.org/places/619164;Garsaura/Col. Claudia Archelais/Koloneia|Garsaura/Col. Claudia Archelais/Koloneia, Aksaray
189;189;palae;Palæ;;;;;;7;mile;;http://pleiades.stoa.org/places/501384;Castra Iarba|Castra Rubra/Castra Iarba, Kolarowo, Charmanli
190;190;castozobra;Castozobra;;;;Subzopara, Castra Iarba;Harmanly;11;mile;;http://pleiades.stoa.org/places/222167;Rhamis
128;128;vereis;Verei;;;;;;10;mile;;http://pleiades.stoa.org/places/197576;‘Vereis’|‘Vereis’, Podravski Podgajci
254;254;momoasson;Momoasson;;Mummoasum;;;Mammasún;12;mile;;http://pleiades.stoa.org/places/619212;Momasson|Momasson, Gökçe, formerly Mamasun
51;51;cambono;Cambonum;;;;;La Combe?;8;mile;;http://pleiades.stoa.org/places/167697;Cambonum|Cambonum, Font-Vineuse
191;191;rhamis;Rammes;Rhamis;;;;;7;mile;;http://pleiades.stoa.org/places/501381;Bourdepa|Bourdepa, Svilengrad
255;255;anathiango;Anathiango;;Anachiango;;Nazianzus;Nenizi;12;mile;;http://pleiades.stoa.org/places/619218;Nandianulus/Nazianzos|Nandianulus/Nazianzos, Nenezigözü
52;52;monte seleuci;Hill of Seleucus;;;;;Mont-Salćon;8;mile;;http://pleiades.stoa.org/places/167836;Mons Seleucus|Mons Seleucus, La Bâtie-Montsaléon
129;129;ioualia;Jovalia;;Iovenalia;;;Valpo;8;mile;;http://pleiades.stoa.org/places/197325;Iovalia|Iovalia, Valpovo
192;192;burdista;Burdista;;Busdicta;;Burdipta;Mustafa Pasha Keupri;11;mile;;http://pleiades.stoa.org/places/501526;Nike|Nike, Havsa/Edirne
256;256;chusa;Chusa;;;;;;12;mile;;http://pleiades.stoa.org/places/619139;Chusa|Chusa, probably at Yazıköy
130;130;mersella;Mersella;;;;;Petrievce;8;mile;;http://pleiades.stoa.org/places/197391;Mursella|Mursella, Petrijevci
53;53;dauiano;Davianum;;;;;Veynes;8;mile;;http://pleiades.stoa.org/places/167738;Davianum|Davianum, Veynes|Veynes
193;193;daphabae;Daphabe;;Dapabe;;;;11;mile;;http://pleiades.stoa.org/places/511428;‘Tarpodizo’|‘Tarpodizo’, Kayova
257;257;sasima;Sasima;;;;;Hassa Keui;12;mile;;http://pleiades.stoa.org/places/619256;Sasima|Sasima, Hasanköy
131;131;mursa;Mursa;;Morsa;;;Esseg;10;mile;;http://pleiades.stoa.org/places/197389;Mursa|Mursa, Osijek
194;194;nicae;Nice;;;;;;9;mile;;http://pleiades.stoa.org/places/511458;‘Urisio’|‘Urisio’, W Bergule
258;258;andauilis;Andavilis;;Andaviles;;;Andaval;16;mile;;http://pleiades.stoa.org/places/619104;Andabalis|Andabalis, Yeniköy, formerly Eski Andaval
55;55;vappinco;Vapincum;;;;;Gap;11;mile;;http://pleiades.stoa.org/places/167954;Vappincum|Vappincum, Gap|Gap
132;132;leutuoano;Leutuanum;Leutuoane;;;;;12;mile;;http://pleiades.stoa.org/places/197065;Ad Labores Pontis Ulcae/‘Leutuoano’|Ad Labores Pontis Ulcae/‘Leutuoano’, Bobota
195;195;tarpodizo;Tarpodizus;;;;Arboditio, Arbodico;Buyúk Derbend;10;mile;;http://pleiades.stoa.org/places/511185;Berg(o)ule/Arkadioupolis|Bergoule/Bergule/Arkadioupolis, Lüleburgaz
56;56;catorigas;Catoricæ;Catigoras;;;Caturigæ;Chorges;12;mile;;http://pleiades.stoa.org/places/167701;Caturigomagus|Caturigomagus, Chorges|Chorges
133;133;cibalis;Cibalæ;;Ciliciales;;;Vincovce;12;mile;;http://pleiades.stoa.org/places/197207;Cibalae|Cibalae, Vinkovci
196;196;vrisio;Urisium;;;;;;7;mile;;http://pleiades.stoa.org/places/511331;‘Narco’|‘Narco’, E Bergule
57;57;ebreduno;Ebrodunum;Hebriuno;;;;Embrun;16;mile;;http://pleiades.stoa.org/places/167750;Eburodunum|Eburodunum, Embrun|Embrun
134;134;caelena;Celena;;;;;;11;mile;;http://pleiades.stoa.org/places/197204;Causilena|Causilena, Orolik
197;197;virgoles;Virgoli;;;;Bergule;Lule Bergas;7;mile;dist?;http://pleiades.stoa.org/places/511241;Dr(o)usipara|Drousipara/Drusipara, Karıştıran
259;259;thyana;Thyana;;;;Tyana;Kiz Hissar;18;mile;;http://pleiades.stoa.org/places/648801;Tyana/Col. Aurelia Antoniniana|Tyana/Col. Aurelia Antoniniana, Kemerhisar
198;198;narco;Narium;;;;;;8;mile;;http://pleiades.stoa.org/places/511448;‘Tipaso’|‘Tipaso’, NW Çorlu
136;136;spaneta;Spaneta;;;;;;10;mile;;http://pleiades.stoa.org/places/207460;Spaneta|Spaneta, Bačinci
200;200;tipso;Tipsus;;;;;;10;mile;;http://pleiades.stoa.org/places/511456;Tzouroulon/Silta?|Tzouroulon/Silta?, Çorlu
199;199;drizupara;Drizupara;;Dritiopara;;;;9;mile;;http://pleiades.stoa.org/places/511456;Tzouroulon/Silta?|Tzouroulon/Silta?, Çorlu
58;58;ramae;Rame;;;;;Rame;17;mile;;http://pleiades.stoa.org/places/167881;Rama|Rama, La Roche-de-Rame
137;137;vedulia;Bedulia;;Vidunlia;;Vedulia;;8;mile;;http://pleiades.stoa.org/places/206995;Budalia|Budalia, Martinci
260;260;faustinopoli;Faustinopolis;;;;;Pashmakchi;12;mile;;http://pleiades.stoa.org/places/648608;Col. Faustinopolis/Halala|Col. Faustinopolis/Halala, Başmakçı
59;59;byrigante;Byrigantum;;Byrigane;;Brigantium;Briançon;17;mile;;http://pleiades.stoa.org/places/167691;Brigantio|Brigantio, Briançon|Briançon
261;261;caena;Cæna;;Cona;;;;13;mile;;http://pleiades.stoa.org/places/648592;Caena|Caena, near Ömerli
201;201;tunorullo;Tunorullum;;Tunorollo;;Izirallum;Chorlu;11;mile;;http://pleiades.stoa.org/places/511184;‘Beodizo’|‘Beodizo’, 9 miles NW Perinthus
262;262;opodando;Opodandum;;;;Podandus;Bozanti;12;mile;;http://pleiades.stoa.org/places/648742;Podandus|Podandus, Pozantı/Adana
60;60;gesdaone;Gesdaona;;;;Gesdao;Sesanne;10;mile;;http://pleiades.stoa.org/places/167778;Gaesao/Tyrium|Gaesao/Tyrium, Cesana Torinese
263;263;pilas;Pylæ;;;;Cilian Gates;Ghulek Boghaz;14;mile;;http://pleiades.stoa.org/places/648670;Kilikiai Pylai|Kilikiai Pylai, Gülek Bogazi
61;61;ad marte;Temple of Mars;;;;;;9;mile;;http://pleiades.stoa.org/places/167617;Ad Martis|Ad Martis, Oulx|Oulx
62;62;segussione;Segussio;;Segucio;;Segusio;Susa;16;mile;;http://pleiades.stoa.org/places/167919;Segusio|Segusio, Susa|Susa
204;204;baunne;Braunne;Baunne;;;;;12;mile;;http://pleiades.stoa.org/places/511414;Sely(m)bria/Eudoxiopolis|Selymbria/Selybria/Eudoxiopolis, Silivri
264;264;mansucrinae;Mansucrine;;;;Mopsucrine;;12;mile;;http://pleiades.stoa.org/places/648704;Ma(m)psoukrenai|Mampsoukrenai/Mapsoukrenai, Kırıtlar?
205;205;salambria;Salamembria;;Salambria;;;Silivri;10;mile;;http://pleiades.stoa.org/places/511201;‘Callum’|‘Callum’, E Selymbria
206;206;callum;Eallum;;;;Callum;Ialos;10;mile;;http://pleiades.stoa.org/places/511172;Athyras|Athyras, Büyükçekmece
207;207;atyra;Atyra;;Alesra;;;Buyúk Chekmejek;10;mile;;http://pleiades.stoa.org/places/511397;Rhegion|Rhegion, Küçükçekmece/İstanbul
64;64;ad fines;frontier;;;;;;12;mile;;http://pleiades.stoa.org/places/383545;Ad Fines|Ad Fines, Drubiaglio, Avigliana|Avigliana
66;66;taurinis;Taurini;;;;;Turin;8;mile;;http://pleiades.stoa.org/places/383580;Augusta Taurinorum|Augusta Taurinorum, Torino|Turin
68;68;quadratis;Quadratæ;;;;;;12;mile;;http://pleiades.stoa.org/places/383753;Quadrata|Quadrata, Quarino Bianco di Verolengo
69;69;ceste;Ceste;;;;;;11;mile;;http://pleiades.stoa.org/places/383616;Cest(a)e|Cestae/Ceste, Crescentino
70;70;rigomago;Regomagus;;;;Rigomagus;Rinco;8;mile;;http://pleiades.stoa.org/places/383759;Rigomagus|Rigomagus, Trino|Trino
72;72;ad cottias;Cottiæ;;;;;Cozzo;13;mile;;http://pleiades.stoa.org/places/383630;Cuttiae|Cuttiae, Cozzo|Cozzo
73;73;laumello;Laumellum;;;;;Lomello;12;mile;;http://pleiades.stoa.org/places/383690;Laumellum|Laumellum, Lomello|Lomello
74;74;duriis;Duni;Duriis;;;Duriæ;Dorno;9;mile;;http://pleiades.stoa.org/places/383637;Durriae|Durriae, Dorno|Dorno
75;75;ticino;Ticinum;;;;;Pavia;12;mile;;http://pleiades.stoa.org/places/383798;Ticinum|Ticinum, Pavia|Pavia
